,job_sub_time,job_id,int_num,req_cpu_core,req_mem_GB,req_gpu,req_bit_per_sec,int_runtime_sec
53,10091.0,c431f099af729d6371111588_xComputeWorker,1.0,10.0,19.55078125,0.5,19888006.040233877,657.0
54,10396.0,ef0108761e205500de04cb7a_xComputeWorker,1.0,10.0,19.55078125,0.5,39087460.84300329,521.0
55,10517.0,414eda5c9c2c657fc3a00234_tensorflow,1.0,6.0,29.296875,0.25,22891271.067045823,1267.0
56,10877.0,6be60448024d647d786e69d0_tensorflow,1.0,6.0,29.296875,0.5,9771133.267345533,33438.0
57,10954.0,2e5137eba094b5135aeb7efe_tensorflow,1.0,6.0,29.296875,0.5,24129592.380211096,1573.0
58,11259.0,4c48bfeddaa318a6bcc450f2_tensorflow,1.0,6.0,29.296875,1.0,13397389.860063467,4061.0
59,11496.0,edcacd15e5fcd556d14ea083_tensorflow,1.0,6.0,29.296875,0.25,23228630.77431785,7370.0
60,11504.0,be77aea580563260d2b58914_worker,16.0,0.5,29.296875,1.0,1204358.1760584747,3894.5
61,12099.0,62308965e9c7af0f366c132b_worker,10.0,4.0,29.296875,1.0,34195568.39807675,1600.7
62,12130.0,f073b20ac9427f8a3bf2b305_tensorflow,1.0,12.0,29.296875,0.05,65805111.147329584,44.0
63,12295.0,b5d8b18250e490d06cde1c11_tensorflow,1.0,6.0,29.296875,0.25,18517182.600992285,72.0
64,12675.0,669eeb1e2d5269973cb30b53_worker,2.0,16.0,29.296875,1.0,58350442.10597634,69.0
65,12962.0,721c6ed2f3fb60fa77b04f99_worker,3.0,6.0,29.296875,0.5,13843449.999957751,3586.666666666666
66,13277.0,c49c1e80780a5700a92c2e0b_PyTorchWorker,1.0,18.0,58.59375,1.0,91462151.74647965,11651.0
67,13278.0,bfa683bc7e2d8ea824d890f4_PyTorchWorker,1.0,18.0,58.59375,1.0,44832221.27573181,11162.0
68,13283.0,67a8f56706862262c7276b1d_PyTorchWorker,1.0,18.0,58.59375,1.0,41797420.67996094,18389.0
69,13284.0,564733450c71ea0615bb9688_PyTorchWorker,1.0,18.0,58.59375,1.0,90746822.0609651,15852.0
70,13284.0,000d00f425b4096a8d949857_PyTorchWorker,1.0,18.0,58.59375,1.0,50533966.966970064,14162.0
71,13284.0,1a85250c74c58fb91119edc7_PyTorchWorker,1.0,18.0,58.59375,1.0,83971457.3875665,17906.0
72,13284.0,3b26ecd9f197682f5167981d_PyTorchWorker,1.0,18.0,58.59375,1.0,62847218.04144154,16164.0
73,13284.0,9a7a3ea6f9dcfa959a631cd1_PyTorchWorker,1.0,18.0,58.59375,1.0,47368606.899322204,13259.0
74,13285.0,28618372de09cfe479c1f148_PyTorchWorker,1.0,18.0,58.59375,1.0,106752412.26071358,16823.0
75,13288.0,6f8a967147984b1a4543269d_PyTorchWorker,1.0,18.0,58.59375,1.0,31366852.03853573,13007.0
76,13295.0,d119652eaddc67e079102da4_PyTorchWorker,1.0,18.0,58.59375,1.0,48092465.29983088,17297.0
77,13408.0,26ac6bc417f664c6eb9711ed_worker,1.0,6.0,29.296875,1.0,16638832.731999451,81.0
78,13462.0,7cc1bd780098c28ee90c2b2f_worker,3.0,6.0,29.296875,0.5,26148032.01908823,1046.0
79,13537.0,b5533bcb9f619fb21d0e3992_worker,2.0,16.0,29.296875,1.0,66054098.74600891,114.0
80,13989.0,f8ef79d5f23c0f85e78560ec_PyTorchWorker,1.0,18.0,58.59375,1.0,69902787.09008157,13610.0
81,14030.0,0945859faf589c72d5812ffd_tensorflow,1.0,6.0,29.296875,1.0,21415317.21807201,916.0
82,14295.0,d03491dfc9c8fe6e57d202ff_xComputeWorker,1.0,10.0,19.55078125,0.5,39308034.88902396,280.0
83,14538.0,af43e52233f5b1b095cdb62c_worker,2.0,6.0,29.296875,0.25,9921945.414505163,23.0
84,14589.0,bde7e012da0e8776d6b1e850_tensorflow,1.0,6.0,29.296875,1.0,11531235.155749554,3190.0
85,14659.0,c307fd42ee738207a9f04784_tensorflow,1.0,6.0,29.296875,0.25,15483511.404700074,324.0
86,14985.0,c66fba9b904bfc48f2db7656_worker,1.0,6.0,29.296875,0.1,12700819.50248379,275.0
87,15235.0,d188fdacb3b71a2c0625c16d_worker,60.0,6.0,29.296875,0.25,31282667.87419731,18328.19512195122
88,15381.0,8339c00d50842ba5c4522d3a_tensorflow,1.0,6.0,29.296875,0.25,55056113.677491225,63.0
89,15509.0,f06256cce89dc8141d44c7da_tensorflow,1.0,6.0,29.296875,0.25,29182520.87437236,64.0
90,15559.0,08dcfaee620e3b6c6f44bad7_worker,10.0,6.0,29.296875,0.5,48194900.50157749,17583.3
91,15668.0,069444c62b237ecc00991d09_worker,1.0,6.0,2.9296875,1.0,35019098.737919115,42.0
92,15719.0,8a9cb4d8f631e1b248fa2cdc_tensorflow,1.0,12.0,29.296875,0.05,28231527.605033956,39.0
93,15783.0,607cc87505cb1e7d13d29671_xComputeWorker,1.0,10.0,19.55078125,0.5,90233051.73863932,552.0
94,15866.0,cac333198e1e5491f4ea23c6_tensorflow,1.0,6.0,29.296875,0.25,38883193.73306424,264.0
95,16091.0,cc86344eedbb1527518f3c44_tensorflow,1.0,6.0,29.296875,1.0,12203250.281369269,71.0
96,16236.0,a34f60e8bc17d02d180c236f_worker,10.0,6.0,29.296875,0.25,29623394.18913682,23670.2
97,16442.0,0ca76c26afcbffafce790b05_tensorflow,1.0,6.0,29.296875,0.25,27282475.329866745,54.0
98,16624.0,69021f3c881880b5e13cbf45_xComputeWorker,1.0,10.0,19.55078125,0.5,34055231.24089491,448.0
99,17003.0,a7078529008cafd58bc2a01f_xComputeWorker,1.0,10.0,19.55078125,0.5,27387571.2098752,183.0
100,17414.0,8a3ed3a39f084c711f13f447_tensorflow,1.0,6.0,29.296875,0.25,33020219.64615852,134.0
101,17500.0,2c34286ba44e0a8bb58844fa_PyTorchWorker,1.0,32.0,97.65625,1.0,81121364.17128047,872.0
102,17528.0,2aea021b378ed2697d490d0a_tensorflow,1.0,6.0,29.296875,0.25,42647981.47470646,123.0
103,17581.0,b83f92f824c240fe00f7c77f_xComputeWorker,1.0,10.0,19.55078125,0.5,33209562.294340715,365.0
104,17581.0,dbc0585ab9bdd6b36a5f0da8_worker,1.0,6.0,29.296875,1.0,68725891.21776544,162.0
105,17887.0,0bee6c43bfec123bd86dc527_worker,1.0,6.0,29.296875,0.25,13969182.364055151,74.0
106,17894.0,571dab7103b0ab609e5787ba_xComputeWorker,1.0,10.0,19.55078125,0.5,32182094.18627794,346.0
107,17966.0,4d5ce92e5ad0c4c8c8562d9a_tensorflow,1.0,6.0,29.296875,1.0,43090744.44371614,152.0
108,18055.0,309e7ac6308e1a2f897dead7_worker,30.0,6.0,29.296875,0.25,34444598.50842053,1505.533333333333
109,18562.0,1a1cd8a6ecd54e254fb5eaed_worker,10.0,5.0,19.53125,0.5,41809487.21774768,777.2
110,18564.0,7146ed2e65c9be22d1011d61_tensorflow,1.0,6.0,29.296875,1.0,21054532.994224157,23.0
111,18792.0,c1375c93e43a7c584b34529f_xComputeWorker,1.0,10.0,19.55078125,0.5,58792132.09305989,459.0
112,18855.0,0672959a40b12e8ee829e62d_tensorflow,1.0,6.0,29.296875,1.0,25712156.588230524,8366.0
113,18871.0,fedd7676ac5e6a51657fdb9a_tensorflow,1.0,6.0,29.296875,1.0,10534512.016325573,7136.0
114,19141.0,75ec5fd978cc86503735e83f_worker,10.0,6.0,29.296875,0.4,26701494.686945416,50.2
115,19320.0,a10ab2fa4f7d06b9d2059e4e_xComputeWorker,1.0,10.0,19.55078125,0.5,33047172.71457513,612.0
116,19396.0,784501e3bed2155a4102b796_tensorflow,1.0,6.0,29.296875,2.0,27574230.16171741,193.0
117,19531.0,fdf4562eb7f3c31002e04282_tensorflow,1.0,6.0,29.296875,1.0,12247100.61047404,43.0
118,19581.0,7efe43389c13d2227ba5d958_tensorflow,1.0,0.2,29.296875,0.1,958650.9418805692,810.0
119,19815.0,72a26ec550772f6420e61ed5_tensorflow,1.0,0.2,29.296875,0.1,550247.0658536938,1799.0
120,19817.0,1fad2cc29aa8db272286bf1e_tensorflow,1.0,0.2,29.296875,0.1,778035.6264448058,1799.0
121,19820.0,d8a27b3005359cd074bc89ce_tensorflow,1.0,0.2,29.296875,0.1,509554.1058456348,2013.0
122,19824.0,522cf0a73f26515402615eb0_tensorflow,1.0,0.2,29.296875,0.1,972829.706117817,2995.0
123,20180.0,fc7615d20a79b59cd0859576_worker,1.0,6.0,2.9296875,1.0,10226342.391893543,43.0
124,20207.0,956baaef99679414ef5061f4_worker,1.0,6.0,29.296875,1.0,23195315.65746911,252.0
125,20300.0,0f877ae40d2d3f1669ade598_tensorflow,1.0,6.0,29.296875,0.25,12409768.605914865,53.0
